Èas vstupu rolky; Cie¾ (S1, S2, S3)
5. 10. 2013 13:57:59;1
5. 10. 2013 12:21:27;2
5. 10. 2013 14:19:17;1
5. 10. 2013 12:20:01;3
5. 10. 2013 13:10:08;3
5. 10. 2013 14:51:59;1
5. 10. 2013 15:01:12;1
5. 10. 2013 15:07:11;1
5. 10. 2013 15:09:32;1
5. 10. 2013 15:14:38;1
5. 10. 2013 15:18:18;1
5. 10. 2013 12:25:47;2
5. 10. 2013 13:13:50;3
5. 10. 2013 13:18:19;2
5. 10. 2013 13:45:20;2
5. 10. 2013 14:04:56;2
5. 10. 2013 13:34:39;3
5. 10. 2013 14:10:45;3
5. 10. 2013 16:27:06;2
5. 10. 2013 17:10:32;2
5. 10. 2013 14:35:55;3
5. 10. 2013 18:00:05;2
5. 10. 2013 14:54:40;3
5. 10. 2013 15:59:10;3
5. 10. 2013 16:50:57;3
5. 10. 2013 19:06:58;2
5. 10. 2013 17:13:57;3
5. 10. 2013 20:49:19;2
5. 10. 2013 15:46:52;1
5. 10. 2013 17:39:54;3
5. 10. 2013 18:20:33;3
5. 10. 2013 17:10:41;1
5. 10. 2013 17:13:48;1
5. 10. 2013 21:02:33;2
5. 10. 2013 17:28:50;1
5. 10. 2013 18:22:44;3
5. 10. 2013 19:56:15;3
5. 10. 2013 18:40:01;1
5. 10. 2013 18:44:10;1
5. 10. 2013 18:52:29;1
5. 10. 2013 18:56:56;1
5. 10. 2013 21:14:03;2
5. 10. 2013 19:24:37;1
5. 10. 2013 20:02:34;3
5. 10. 2013 21:27:35;2
5. 10. 2013 20:26:50;3
5. 10. 2013 22:23:12;2
5. 10. 2013 20:43:00;3
5. 10. 2013 19:55:09;1
6. 10. 2013 0:10:56;2
5. 10. 2013 20:53:46;3
6. 10. 2013 2:50:14;2
5. 10. 2013 20:08:31;1
5. 10. 2013 20:17:43;1
6. 10. 2013 2:53:13;2
5. 10. 2013 21:17:01;3
5. 10. 2013 21:51:37;3
5. 10. 2013 20:44:25;1
6. 10. 2013 4:24:24;2
5. 10. 2013 20:56:32;1
6. 10. 2013 4:28:48;2
6. 10. 2013 4:49:11;2
5. 10. 2013 21:17:50;1
6. 10. 2013 4:55:00;2
5. 10. 2013 21:59:20;3
5. 10. 2013 22:45:27;3
5. 10. 2013 23:43:09;3
6. 10. 2013 1:07:36;3
5. 10. 2013 21:38:55;1
6. 10. 2013 7:06:33;2
5. 10. 2013 22:05:22;1
6. 10. 2013 7:23:26;2
5. 10. 2013 22:30:07;1
5. 10. 2013 22:41:41;1
6. 10. 2013 7:30:45;2
5. 10. 2013 22:58:46;1
6. 10. 2013 1:17:52;3
6. 10. 2013 0:06:50;1
6. 10. 2013 0:11:11;1
6. 10. 2013 1:23:32;3
6. 10. 2013 7:38:57;2
6. 10. 2013 0:40:20;1
6. 10. 2013 1:39:50;3
6. 10. 2013 2:18:01;3
6. 10. 2013 2:52:24;3
6. 10. 2013 3:55:01;3
6. 10. 2013 7:42:28;2
6. 10. 2013 4:06:41;3
6. 10. 2013 5:01:05;3
6. 10. 2013 2:32:33;1
6. 10. 2013 8:26:59;2
6. 10. 2013 2:49:36;1
6. 10. 2013 2:51:14;1
6. 10. 2013 8:38:16;2
6. 10. 2013 3:07:07;1
6. 10. 2013 5:05:45;3
6. 10. 2013 6:19:21;3
6. 10. 2013 4:12:05;1
6. 10. 2013 4:15:15;1
6. 10. 2013 4:21:04;1
6. 10. 2013 4:27:37;1
6. 10. 2013 6:28:04;3
6. 10. 2013 8:11:22;3
6. 10. 2013 8:53:53;2
6. 10. 2013 8:38:10;3
6. 10. 2013 9:39:59;3
6. 10. 2013 10:57:23;3
6. 10. 2013 9:43:40;2
6. 10. 2013 11:13:26;3
6. 10. 2013 12:06:09;3
6. 10. 2013 10:27:52;2
6. 10. 2013 5:54:14;1
6. 10. 2013 12:25:34;3
6. 10. 2013 10:37:23;2
6. 10. 2013 12:53:10;3
6. 10. 2013 13:25:56;3
6. 10. 2013 14:02:17;3
6. 10. 2013 15:05:55;3
6. 10. 2013 16:24:07;3
6. 10. 2013 11:25:16;2
6. 10. 2013 11:51:18;2
6. 10. 2013 6:46:50;1
6. 10. 2013 6:50:42;1
6. 10. 2013 11:56:07;2
6. 10. 2013 12:22:29;2
6. 10. 2013 7:13:38;1
6. 10. 2013 12:36:12;2
6. 10. 2013 16:39:59;3
6. 10. 2013 15:02:02;2
6. 10. 2013 16:56:29;3
6. 10. 2013 17:26:04;3
6. 10. 2013 7:29:36;1
6. 10. 2013 7:33:35;1
6. 10. 2013 17:32:32;3
6. 10. 2013 15:58:25;2
6. 10. 2013 8:25:04;1
6. 10. 2013 16:16:06;2
6. 10. 2013 17:55:33;3
6. 10. 2013 8:41:38;1
6. 10. 2013 18:06:31;3
6. 10. 2013 17:36:55;2
6. 10. 2013 10:08:05;1
6. 10. 2013 18:30:32;3
6. 10. 2013 10:40:26;1
6. 10. 2013 10:50:25;1
6. 10. 2013 17:46:29;2
6. 10. 2013 11:13:55;1
6. 10. 2013 18:38:57;3
6. 10. 2013 11:44:29;1
6. 10. 2013 18:46:37;3
6. 10. 2013 19:24:41;3
6. 10. 2013 12:13:54;1
6. 10. 2013 12:19:32;1
6. 10. 2013 17:54:57;2
6. 10. 2013 12:37:48;1
6. 10. 2013 19:29:22;3
6. 10. 2013 18:04:05;2
6. 10. 2013 18:22:47;2
6. 10. 2013 13:19:50;1
6. 10. 2013 19:43:16;3
6. 10. 2013 18:32:08;2
6. 10. 2013 14:01:20;1
6. 10. 2013 18:38:14;2
6. 10. 2013 14:15:01;1
6. 10. 2013 20:07:59;3
6. 10. 2013 15:19:39;1
6. 10. 2013 18:55:45;2
6. 10. 2013 19:26:01;2
6. 10. 2013 20:13:40;3
6. 10. 2013 15:36:18;1
6. 10. 2013 20:36:12;2
6. 10. 2013 21:07:12;2
6. 10. 2013 15:50:48;1
6. 10. 2013 16:01:50;1
6. 10. 2013 20:21:02;3
6. 10. 2013 21:14:34;2
